]0;🐍Wi-Fi: off | code.py | 10.3.0\  1639.0 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  47.7°C |  0.00 bar [0.498 V]
  1639.3 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.39 | PD:  0.01  | PI:  0.00 | Brew:  49.9°C |  0.00 bar [0.495 V]
  1639.6 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  49.4°C |  0.00 bar [0.498 V]
  1639.9 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.37 | PD:  0.00  | PI:  0.00 | Brew:  51.7°C |  0.00 bar [0.497 V]
  1640.2 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  45.2°C |  0.00 bar [0.498 V]
  1640.5 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  51.3°C |  0.00 bar [0.497 V]
  1640.8 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  47.9°C |  0.00 bar [0.497 V]
  1641.1 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.37 | PD:  0.00  | PI:  0.00 | Brew:  50.9°C |  0.00 bar [0.497 V]
  1641.5 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  49.8°C |  0.00 bar [0.498 V]
  1641.8 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  48.6°C |  0.00 bar [0.497 V]
  1642.1 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.39 | PD:  0.01  | PI:  0.00 | Brew:  50.2°C |  0.00 bar [0.498 V]
  1642.4 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.39 | PD:  0.01  | PI:  0.00 | Brew:  51.1°C |  0.00 bar [0.495 V]
  1642.7 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  50.9°C |  0.01 bar [0.502 V]
